id;name;description;start_date;end_date;url;status;address
1;Bacon withdrawal Métricas;deposit front-end;2023-03-17;2023-03-18;https://arturo.com.es;input;primary Salud SCSI
2;Rústico Central;matrix;2023-03-18;2023-03-18;http://elisa.es;program Cambridgeshire calculating;Inteligente portals
3;Hormigon;Pizza navigating;2023-03-17;2023-03-18;http://ignacio.org;Navarra;Siria Bedfordshire Algodón
4;withdrawal transmit primary;Muelle;2023-03-18;2023-03-18;http://dolores.org;Seguro fidelidad;Cuentas Tunez
5;Colombian Deportes;Intuitivo Cambridgeshire Madera;2023-03-18;2023-03-18;http://diana.info;RSS;cross-platform Representante
6;parsing Sopa;Investigación;2023-03-17;2023-03-18;http://patricia.info;Kenyan viral Hormigon;program Salchichas
7;Decoración bypass;Mobilidad protocol;2023-03-18;2023-03-18;https://ramiro.es;markets SQL bluetooth;Relacciones calculate
8;estandardización override solid;bleeding-edge SMTP Cliente;2023-03-18;2023-03-18;http://dorotea.org;Navarra Entrada quantifying;Orígenes precios Barbados
9;Apartamento array Gris;Enfocado Soluciones Bebes;2023-03-18;2023-03-18;http://pilar.info;plug-and-play Azul Consultor;schemas
10;Cambridgeshire;protocol Azul;2023-03-18;2023-03-18;http://emilio.es;Rústico partnerships infomediaries;Paradigma
