id;begin_time;end_time;total_time;status;task;begin_break;end_break;total_break
1;2023-03-17;2023-03-17;54010;Morado;connect payment;2023-03-18;2023-03-18;14294
2;2023-03-18;2023-03-18;15241;metrics supply-chains program;Credit Pizza Persistente;2023-03-18;2023-03-18;99466
3;2023-03-18;2023-03-18;58738;Buckinghamshire;Atún;2023-03-18;2023-03-18;32810
4;2023-03-18;2023-03-18;51499;Guapo;Murcia Navarra port;2023-03-18;2023-03-18;32659
5;2023-03-17;2023-03-18;28918;Acero Andalucía;Práctico;2023-03-18;2023-03-17;4415
6;2023-03-18;2023-03-18;3828;contexto;Plástico Dobra portal;2023-03-18;2023-03-18;54189
7;2023-03-18;2023-03-18;73398;Pollo no-volátil;Tunez data-warehouse demanda;2023-03-18;2023-03-18;63165
8;2023-03-18;2023-03-18;42007;relationships Azul;Zapatos connecting;2023-03-18;2023-03-17;83845
9;2023-03-18;2023-03-18;24392;alarm;discreta connecting Administrador;2023-03-17;2023-03-18;78926
10;2023-03-18;2023-03-18;96227;Home Enfocado Cambridgeshire;Account sinergia invoice;2023-03-17;2023-03-18;91076
