id;task;priority;status
1;Account services Enfocado;7722;global deposit connecting
2;cross-media Gorro Parafarmacia;60405;didactica Madera
3;Administrador;93462;sexy
4;Métricas microchip mission-critical;81023;Electrónica asimétrica
5;wireless Amarillo;8755;panel navigate Loan
6;Parafarmacia global Colegio;74859;Galicia Artesanal program
7;mobile iterate Morado;32067;Violeta
8;Tobago;10517;relationships Algodón Account
9;invoice Calleja;76128;Librería Deportes Pizza
10;no-volátil Configurable parsing;24504;Madera reintermediate parse
